house_type	bhk_type	bed_count	furnishing_type	beds_vacant	house_id	Total_Occupancy
Apartment	3 BHK	5	unfurnished	2	1	3
Apartment	3 BHK	3	semifurnished	0	7	3
Apartment	2 BHK	4	fully-furnished	1	8	3
Apartment	3 BHK	3	fully-furnished	0	14	3
Apartment	3 BHK	3	fully-furnished	0	16	3
Independent	3 BHK	3	fully-furnished	1	17	2
Independent	3 BHK	3	fully-furnished	1	19	2
Independent	2 BHK	4	unfurnished	2	13	2
Independent	1 BHK	2	unfurnished	0	9	2
Independent	3 BHK	3	fully-furnished	1	10	2
Apartment	3 BHK	3	unfurnished	1	2	2
Apartment	3 BHK	6	fully-furnished	4	3	2
Apartment	2 BHK	2	fully-furnished	0	4	2
Independent	4 BHK	4	fully-furnished	2	5	2
Apartment	3 BHK	3	semifurnished	1	6	2
Apartment	1 BHK	1	unfurnished	0	11	1
Independent	1 BHK	2	unfurnished	1	12	1
Independent	2 BHK	2	fully-furnished	1	18	1
Independent	1 BHK	2	unfurnished	1	15	1
Independent	1 BHK	2	unfurnished	2	20	0
