referrer_bonus_amount,referral_valid,valid_from,valid_till,profile_id,ID
2500,1,2015-07-05,2015-09-05,2,1
2500,1,2015-07-05,2015-09-05,3,2
1000,0,2015-12-13,2016-02-13,5,3
2500,0,2016-04-25,2016-06-24,6,4
1000,1,2015-07-01,2015-09-01,10,5
2500,1,2015-05-12,2015-07-12,12,6
2500,0,2015-08-05,2015-10-05,13,7
1000,1,2016-02-05,2016-04-05,20,8
2500,0,2015-08-12,2015-09-12,2,9
1000,1,2016-02-18,2016-04-18,5,10
1500,1,2016-06-19,2016-08-19,20,12
2500,0,2015-11-15,2016-01-15,9,13
1000,1,2016-02-01,2016-04-01,13,14
1000,1,2016-04-25,2016-06-24,5,15
