move_in_date,move_out_date,rent,bed_type,move_out_reason,house_id,profile_id,ID
2015-02-12,2016-04-30,7500,bed,MOVE_OUT,5,1,1
2015-06-05,NULL,11000,room,,2,2,2
2015-10-28,2016-11-28,12000,room,RENT_CHANGE,4,3,3
2015-04-26,NULL,8000,bed,,1,4,4
2015-05-15,2015-12-27,9000,bed,MOVE_OUT,3,5,5
2015-12-25,NULL,10200,room,,8,6,6
2015-11-20,NULL,6500,bed,,6,7,7
2015-11-10,2016-12-31,7200,bed,MOVE_OUT,7,8,8
2015-10-15,NULL,7500,bed,,9,9,9
2015-06-20,NULL,7500,bed,,10,10,10
2015-08-29,2016-06-14,8000,bed,INTERNAL_TRANSFER,19,11,11
2015-02-24,NULL,11000,room,,15,12,12
2015-02-25,NULL,12000,room,,12,13,13
2016-01-07,2016-12-30,13500,room,MOVE_OUT,18,14,14
2015-04-07,NULL,6500,bed,,13,15,15
2015-04-23,NULL,6500,bed,,17,16,16
2015-02-10,NULL,10500,room,,14,17,17
2015-10-16,2016-09-04,8000,bed,MOVE_OUT,16,18,18
2015-09-26,NULL,7500,bed,,20,19,19
2015-09-30,NULL,9500,bed,,11,20,20
